ID,name,dob,popu,city,state,country,
8,Lee Unkrich,8/8/1967,0.408649,Cleveland, Ohio, USA,
9,Graham Walters,null,0.127575,null,,,
10,Bob Peterson,1/18/1961,2.818623,Wooster, Ohio, USA,
11,David Reynolds,,1.00E-05,null,,,
12,Alexander Gould,5/4/1994,2.390544,Los Angeles, California, USA,
13,Albert Brooks,7/22/1947,5.056944,Beverly Hills, California, USA,
33,Gary Sinise,3/17/1955,2.790723,Blue Island, Illinois, USA,
18,Brad Garrett,4/14/1960,0.252513,Woodland Hills, Los Angeles, California, USA
23,Bill Hunter,2/27/1940,9.00E-05,Ballarat, Victoria, Australia,
24,Robert Zemeckis,5/14/1951,3.323433,Chicago, Illinois, USA ,
14,Ellen DeGeneres,1/26/1958,1.740619,Metairie, Louisiana, USA,
26,Winston Groom,3/23/1944,0.000343,Washington, District of Columbia, USA,
27,Eric Roth,3/22/1945,1.852651,New York City, New York, USA,
28,Wendy Finerman,8/2/1961,1.00E-06,null,,,
30,Steve Starkey,null,2.00E-06,null,,,
31,Tom Hanks,7/9/1956,18.48513,Concord - California - USA,,,
32,Robin Wright,4/8/1966,7.162076,Dallas, Texas, USA,
34,Mykelti Williamson,3/4/1957,2.506559,Saint Louis, Missouri, USA,
35,Sally Field,11/6/1946,2.080287,Pasadena, California, USA,
36,Don Burgess,null,0.008937,null,,,
37,Alan Silvestri,3/26/1950,0.003731,null,,,
38,Arthur Schmidt,null,5.00E-06,null,,,
39,Sam Mendes,8/1/1965,2.244995,Reading, Berkshire, England, UK
40,Orson Welles,5/6/1915,3.96518,Kenosha, Wisconsin, USA,
42,Lars von Trier,4/30/1956,3.751572,Kongens Lyngby, Denmark,,
43,John Fawcett,3/5/1968,0.082212,Edmonton, Alberta, Canada,
44,Simon Maginn,null,0,Wallasey, Merseyside,,
45,Stephen Massicotte,null,2.00E-06,null,,,
47,Björk,11/21/1965,4.155335,Reykjavík, Iceland,,
48,Sean Bean,4/17/1959,4.58716,Sheffield, South Yorkshire, England, UK
49,Maria Bello,4/18/1967,11.810152,Norristown, Pennsylvania, USA,
50,Catherine Deneuve,10/22/1943,9.406064,Paris, France,,
51,Richard Elfyn,null,2.90E-05,null,,,
52,David Morse,10/11/1953,2.549053,Hamilton - Massachusetts - USA,,,
53,Peter Stormare,8/27/1953,4.744635,Arbrå, Gävleborgs län, Sweden,
54,Maurice Roeves,3/19/1937,0.20412,Sunderland, Tyne-and-Wear, England, UK
55,Abigail Stone,6/2/1992,7.40E-05,null,,,
56,Sophie Stuckey,null,0,null,,,
59,Luc Besson,3/18/1959,2.788514,Paris, France,,
60,Patrice Ledoux,null,0.008857,null,,,
61,Robert Mark Kamen,,1.806918,The Bronx, New York, United States,
62,Bruce Willis,3/19/1955,11.726686,Idar-Oberstein, Germany,,
63,Milla Jovovich,12/17/1975,13.45703,Kiev, Ukraine,,
64,Gary Oldman,3/21/1958,9.277355,London, United Kingdom,,
65,Ian Holm,9/12/1931,2.058511,Goodmayes, Essex, England, UK
66,Chris Tucker,8/31/1972,4.020252,Atlanta, Georgia,,
67,Erich Pommer,1889-07-20,5.00E-06,Hildesheimm, Germany,,
68,Fritz Lang,1890-12-05,0.002324,Vienna, Austria-Hungary,,
69,Gottfried Huppertz,null,0.315,null,,,
70,Karl Freund,1890-01-16,0.278018,Königinhof, Bohemia, Austria-Hungary [now Dvur Kralove, Czech Republic]
71,Günther Rittau,null,0.02835,null,,,
73,Alfred Abel,1879-03-12,9.00E-06,Leipzig, Germany,,
74,Gustav Fröhlich,3/21/1902,0.00765,Hannover, Lower Saxony, Germany,
75,Brigitte Helm,3/17/1906,0.187439,Berlin, Germany,,
77,Rudolf Klein-Rogge,1885-11-24,0.000209,Cologne, Germany,,
78,Fritz Rasp,1891-05-13,0.063336,Bayreuth, Germany,,
79,Theodor Loos,1883-05-18,0.0155,Zwingenberg,,,
80,Erwin Biswanger,1896-11-26,9.00E-06,null,,,
81,Heinrich George,1893-10-09,0.21,Stettin, Pomerania,,
82,Olaf Storm,,0.0819,null,,,
7,Andrew Stanton,1/13/1958,3.032849,Boston, Massachusetts, USA,
19,Allison Janney,11/19/1959,4.797842,Dayton - Ohio - USA,,,
22,Barry Humphries,2/17/1934,0.005751,Camberwell, Melbourne, Australia,
20,Elizabeth Perkins,11/18/1960,2.308229,Queens, New York, USA,
5,Peter Cushing,5/26/1913,6.388077,Kenley, Surrey, England, UK
6,Anthony Daniels,2/21/1946,1.958711,Salisbury, Wiltshire, England, UK
29,Steve Tisch,null,4.40E-05,null,,,
83,Hanns Leo Reich,null,0.91,null,,,
85,Johnny Depp,6/9/1963,18.465443,Owensboro, Kentucky, USA ,
112,Cate Blanchett,5/14/1969,9.749611,Melbourne, Victoria, Australia,
109,Elijah Wood,1/28/1981,5.401889,Cedar Rapids, Iowa, USA,
110,Viggo Mortensen,10/20/1958,5.016294,New York City - New York - USA,,,
113,Christopher Lee,5/27/1922,5.994084,Belgravia, Westminster, England,
114,Orlando Bloom,1/13/1977,4.665832,Canterbury, Kent, UK,
116,Keira Knightley,3/26/1985,16.303341,London, England,,
117,Howard Shore,10/18/1946,0.21,null,,,
118,Geoffrey Rush,7/6/1951,7.565378,Toowoomba, Queensland, Australia,
1,George Lucas,5/14/1944,4.325569,Modesto - California - USA,,,
2,Mark Hamill,9/25/1951,8.859295,Concord, California, USA,
3,Harrison Ford,7/13/1942,9.97623,Chicago - Illinois - USA,,,
4,Carrie Fisher,10/21/1956,7.864139,Beverly Hills, Los Angeles, California, USA
86,Bruce Brown,12/1/1937,1.00E-06,San Francisco, California, U.S.,
90,Isabel Coixet,4/9/1960,0.669011,Sant Adrià de Besòs, Barcelona, Spain,
92,Robert August,6/6/1945,0.000358,,,,
93,Esther García,null,2.00E-06,null,,,
183,Kôji Morimoto,12/26/1959,1.30E-05,,,,
185,Katsuhiro Ōtomo,4/14/1954,0,Miyagi, Japan,,
95,Gaston Georis,null,0,,,,
96,Gordon McLennan,null,3.10E-05,null,,,
97,Nanci Kincaid,null,0.315,null,,,
98,Sarah Polley,1/8/1979,1.466946,Toronto - Ontario - Canada,,,
99,Amanda Plummer,3/23/1957,0.565085,New York City, New York, USA,
100,Scott Speedman,9/1/1975,8.412081,London, England, UK,
102,Deborah Harry,7/1/1945,0.900603,null,,,
101,Leonor Watling,7/28/1975,1.76302,Madrid, Spain,,
103,Mark Ruffalo,11/22/1967,5.089362,Kenosha, Wisconsin, USA,
104,Jean-Claude Larrieu,null,1.20E-05,null,,,
105,Lisa Robison,null,2.00E-06,null,,,
106,Alfonso Vilallonga,null,3.00E-06,null,,,
108,Peter Jackson,10/31/1961,4.234776,Pukerua Bay, North Island, New Zealand,
120,Dariusz Wolski,,4.00E-06,null,,,
122,Klaus Badelt,6/12/1967,0.7,null,,,
123,Barrie M. Osborne,2/7/1944,0.000683,null,,,
126,Fran Walsh,1/10/1959,2.375339,Wellington, New Zealand,,
130,Kenny Baker,8/24/1934,1.264122,Birmingham, England, UK,
149,Robert Richardson,8/27/1955,0.000545,Hyannis, Massachusetts, USA,
128,Philippa Boyens,,1.515578,null,,,
129,J.R.R. Tolkien,1892-01-03,2.206867,Bloemfontein, Orange Free State, South Africa,
132,Scott MacDonald,null,0.006059,null,,,
133,Peter Sarsgaard,3/7/1971,3.177877,Belleville, Illinois, USA,
141,David Carradine,12/8/1936,2.702038,Hollywood, Los Angeles, California, USA
142,William Broyles Jr.,10/8/1944,0.153734,Houston, Texas,,
147,Michael Madsen,9/25/1957,2.889485,Chicago, Illinois, USA,
170,Ernest Lenart,11/8/1912,0,null,,,
179,Marcel Zyskind,null,0.000233,null,,,
182,Mat Whitecross,null,0.002997,null,,,
134,Jamie Foxx,12/13/1967,4.760607,Terrell, Texas, USA,
166,Caroline Peters,9/7/1971,0.002786,Mainz, Germany,,
167,Gideon Shemer,null,0.189,null,,,
168,Carola Regnier,4/2/1943,0,null,,,
186,Yôko Kanno,null,0.315,,,,
187,Tensai Okamura,null,1.10E-05,null,,,
188,Mike Hynson,null,0.000311,null,,,
190,Clint Eastwood,5/31/1930,11.214888,San Francisco, California, USA,
192,Morgan Freeman,6/1/1937,21.101665,Memphis, Tennessee, USA,
193,Gene Hackman,1/30/1930,3.011072,San Bernardino - California - USA,,,
194,Richard Harris,10/1/1930,4.175886,Limerick City, Munster, Ireland,
195,Lennie Niehaus,6/11/1929,6.10E-05,null,,,
197,David Silverman,3/15/1957,0.027107,New York, City, New York, USA
198,Dan Castellaneta,10/29/1957,2.512192,Chicago - Illinois - USA,,,
199,Julie Kavner,9/7/1950,2.080398,Los Angeles, California, U.S.,
200,Nancy Cartwright,10/25/1957,0.594426,Dayton, Ohio, United States,
201,Michel Gondry,5/8/1963,1.920539,Versailles, France,,
202,Charlie Kaufman,11/19/1958,0.379579,New York City, New York,,
204,Kate Winslet,10/5/1975,10.554028,Reading, UK,,
205,Kirsten Dunst,4/30/1982,8.503783,Point Pleasant, New Jersey,,
206,Jim Carrey,1/17/1962,9.610013,Newmarket, Ontario, Canada,
207,Tom Wilkinson,2/5/1948,3.969576,Leeds - West Yorkshire - England - UK,,,
208,Ryan Whitney,null,6.00E-06,null,,,
209,Jane Adams,4/1/1965,0.017969,Washington, D.C., United States,
210,Amir Ali Said,3/13/1996,2.30E-05,Brooklyn - New York - USA,,,
211,Debbon Ayer,null,2.00E-06,null,,,
212,David Cross,4/4/1964,2.250085,Atlanta - Georgia - USA,,,
176,Kieran O'Brien,,0.000309,Rochdale, England, UK,
177,Margo Stilley,11/20/1982,0.412393,Bear Creek, North Carolina, USA ,
150,RZA,7/5/1969,2.660931,Brooklyn, New York, USA,
151,Roger Deakins,5/24/1949,0.066532,null,,,
152,Jim Morrison,12/8/1943,1.20E-05,Melbourne, Florida, USA,
148,Anthony Swofford,8/12/1970,0.045498,Fairfield, California,,
153,Thomas Newman,10/20/1955,0.15277,Los Angeles, California, USA ,
154,Walter Murch,7/12/1943,0.000516,null,,,
155,Lucas Black,11/29/1982,9.48363,Speake - Alabama - USA,,,
156,Sally Menke,12/17/1953,1.013564,null,,,
157,Thea von Harbou,1888-12-27,0.111351,Tauperlitz, Germany,,
159,Ivri Lider,null,0,null,,,
160,Eytan Fox,8/21/1964,0.003317,New York City, New York, USA,
161,Amir Harel,null,4.70E-05,null,,,
162,Gal Uchovsky,null,6.00E-06,Hadera, Israel,,
163,Yosef Grunfeld,null,0,null,,,
164,Lior Ashkenazi,12/28/1968,0.000705,Ramat Gan, Israel,,
165,Knut Berger,null,0.00872,Gelsenkirchen, North Rhine-Westphalia.,,
171,Tobias Hochstein,null,2.00E-06,null,,,
169,Hanns Zischler,6/18/1947,1.08531,Nürnberg-Germany,,,
172,Michael Winterbottom,3/29/1961,1.071291,Blackburn, Lancashire, England, UK
131,Jake Gyllenhaal,12/19/1980,12.3969,Los Angeles, California, USA,
139,Uma Thurman,4/29/1970,4.338082,Boston, Massachusetts, USA,
138,Quentin Tarantino,3/27/1963,5.566923,Knoxville, Tennessee, USA,
135,Bobby Cohen,null,7.00E-06,null,,,
136,Sam Mercer,null,0.042404,null,,,
140,Lucy Liu,12/2/1968,3.406457,Queens - New York City - New York - USA,,,
213,Gerry Robert Byrne,null,0,,,,
214,Brian Price,null,0.000212,null,,,
216,Josh Flitter,8/25/1994,2.00E-06,null,,,
217,Paul Litowsky,4/17/1995,0.000239,,,,
220,Lola Daehler,null,1.00E-06,null,,,
221,Lauren Adler,null,0.000134,null,,,
222,Pierre Bismuth,null,0.00557,,,,
223,Alejandro González Iñárritu,8/15/1963,1.513822,Mexico City, Distrito Federal, Mexico,
224,David Cronenberg,3/15/1943,2.711995,Toronto, Ontario, Canada,
225,Ashton Holmes,2/17/1978,0.911113,Albany - New York - USA,,,
226,Heidi Hayes,null,0.000383,null,,,
227,William Hurt,3/20/1950,4.185461,Washington - D.C. - USA,,,
228,Ed Harris,11/28/1950,9.693271,Tenafly, New Jersey, USA,
229,Peter MacNeill,,0.82083,New Brunswick - Canada,,,
230,Stephen McHattie,2/3/1947,3.514558, Antigonish, Nova Scotia, Canada,
231,Greg Bryk,5/15/1972,1.80E-05,Winnipeg - Manitoba - Canada,,,
232,Kyle Schmid,8/3/1984,2.00E-06,Mississauga, Ontario, Canada,
233,Sumela Kay,7/25/1986,0.059823, Toronto, Ontario, Canada ,
234,Gerry Quigley,null,0.7,null,,,
235,Deborah Drakeford,null,4.40E-05,null,,,
236,Bill MacDonald,null,0,null,,,
237,Aidan Devine,null,0.037841,null,,,
239,Jon Vitti,null,0.06413,null,,,
240,Stanley Kubrick,7/26/1928,3.849776,Manhattan, New York, US,
